1188	█Ҥ█ █ Ҥ █ ─Ҥ─ 
1189	█ҥ█ █ ҥ █ ─ҥ─ 
1198	█Ү█ █ Ү █ ─Ү─ 
1202	█Ҳ█ █ Ҳ █ ─Ҳ─ 
1204	█Ҵ█ █ Ҵ █ ─Ҵ─ 
1212	█Ҽ█ █ Ҽ █ ─Ҽ─ 
1213	█ҽ█ █ ҽ █ ─ҽ─ 
1214	█Ҿ█ █ Ҿ █ ─Ҿ─ 
1215	█ҿ█ █ ҿ █ ─ҿ─ 
1217	█Ӂ█ █ Ӂ █ ─Ӂ─ 
1218	█ӂ█ █ ӂ █ ─ӂ─ 
1225	█Ӊ█ █ Ӊ █ ─Ӊ─ 
1229	█Ӎ█ █ Ӎ █ ─Ӎ─ 
1230	█ӎ█ █ ӎ █ ─ӎ─ 
1236	█Ӕ█ █ Ӕ █ ─Ӕ─ 
1244	█Ӝ█ █ Ӝ █ ─Ӝ─ 
1245	█ӝ█ █ ӝ █ ─ӝ─ 
1276	█Ӽ█ █ Ӽ █ ─Ӽ─ 
1277	█ӽ█ █ ӽ █ ─ӽ─ 
1300	█Ԕ█ █ Ԕ █ ─Ԕ─ 
1301	█ԕ█ █ ԕ █ ─ԕ─ 
1306	█Ԛ█ █ Ԛ █ ─Ԛ─ 
1312	█Ԡ█ █ Ԡ █ ─Ԡ─ 
1320	█Ԩ█ █ Ԩ █ ─Ԩ─ 
1321	█ԩ█ █ ԩ █ ─ԩ─ 
1332	█Դ█ █ Դ █ ─Դ─ 
1337	█Թ█ █ Թ █ ─Թ─ 
1338	█Ժ█ █ Ժ █ ─Ժ─ 
1342	█Ծ█ █ Ծ █ ─Ծ─ 
1346	█Ղ█ █ Ղ █ ─Ղ─ 
1348	█Մ█ █ Մ █ ─Մ─ 
1350	█Ն█ █ Ն █ ─Ն─ 
1356	█Ռ█ █ Ռ █ ─Ռ─ 
1358	█Վ█ █ Վ █ ─Վ─ 
1364	█Ք█ █ Ք █ ─Ք─ 
1379	█գ█ █ գ █ ─գ─ 
1380	█դ█ █ դ █ ─դ─ 
1382	█զ█ █ զ █ ─զ─ 
1385	█թ█ █ թ █ ─թ─ 
1386	█ժ█ █ ժ █ ─ժ─ 
1394	█ղ█ █ ղ █ ─ղ─ 
1396	█մ█ █ մ █ ─մ─ 
1398	█ն█ █ ն █ ─ն─ 
1404	█ռ█ █ ռ █ ─ռ─ 
1406	█վ█ █ վ █ ─վ─ 
1415	█և█ █ և █ ─և─ 
1423	█֏█ █ ֏ █ ─֏─ 
5763	█ᚃ█ █ ᚃ █ ─ᚈ─ 
5768	█ᚈ█ █ ᚈ █ ─ᚈ─ 
5773	█ᚍ█ █ ᚍ █ ─ᚍ─ 
5778	█ᚒ█ █ ᚒ █ ─ᚒ─ 
5783	█ᚗ█ █ ᚗ █ ─ᚗ─ 
5784	█ᚘ█ █ ᚘ █ ─ᚘ─ 
5786	█ᚚ█ █ ᚚ █ ─ᚚ─ 
6612	█᧔█ █ ᧔ █ ─᧔─ 
7443	█ᴓ█ █ ᴓ █ ─ᴓ─ 
7526	█ᵦ█ █ ᵦ █ ─ᵦ─ 
7527	█ᵧ█ █ ᵧ █ ─ᵧ─ 
7528	█ᵨ█ █ ᵨ █ ─ᵨ─ 
7529	█ᵩ█ █ ᵩ █ ─ᵩ─ 
7530	█ᵪ█ █ ᵪ █ ─ᵪ─ 
7532	█ᵬ█ █ ᵬ █ ─ᵬ─ 
7533	█ᵭ█ █ ᵭ █ ─ᵭ─ 
7537	█ᵱ█ █ ᵱ █ ─ᵱ─ 
7538	█ᵲ█ █ ᵲ █ ─ᵲ─ 
7539	█ᵳ█ █ ᵳ █ ─ᵳ─ 
7549	█ᵽ█ █ ᵽ █ ─ᵽ─ 
7555	█ᶃ█ █ ᶃ █ ─ᶃ─ 
7556	█ᶄ█ █ ᶄ █ ─ᶄ─ 
7558	█ᶆ█ █ ᶆ █ ─ᶆ─ 
7559	█ᶇ█ █ ᶇ █ ─ᶇ─ 
7563	█ᶋ█ █ ᶋ █ ─ᶋ─ 
7565	█ᶍ█ █ ᶍ █ ─ᶍ─ 
7567	█ᶏ█ █ ᶏ █ ─ᶏ─ 
7568	█ᶐ█ █ ᶐ █ ─ᶐ─ 
7569	█ᶑ█ █ ᶑ █ ─ᶑ─ 
7570	█ᶒ█ █ ᶒ █ ─ᶒ─ 
7571	█ᶓ█ █ ᶓ █ ─ᶓ─ 
7573	█ᶕ█ █ ᶕ █ ─ᶕ─ 
7577	█ᶙ█ █ ᶙ █ ─ᶙ─ 
7756	█Ṍ█ █ Ṍ █ ─Ṍ─ 
7758	█Ṏ█ █ Ṏ █ ─Ṏ─ 
7760	█Ṑ█ █ Ṑ █ ─Ṑ─ 
7762	█Ṓ█ █ Ṓ █ ─Ṓ─ 
7775	█ṟ█ █ ṟ █ ─ṟ─ 
7782	█Ṧ█ █ Ṧ █ ─Ṧ─ 
7792	█Ṱ█ █ Ṱ █ ─Ṱ─ 
7836	█ẜ█ █ ẜ █ ─ẜ─ 
7931	█ỻ█ █ ỻ █ ─ỻ─ 
8208	█‐█ █ ‐ █ ─‐─ 
8210	█‒█ █ ‒ █ ─‒─ 
8211	█–█ █ – █ ─–─ 
8212	█—█ █ — █ ─—─ 
8213	█―█ █ ― █ ─―─ 
8214	█‖█ █ ‖ █ ─‖─ 
8215	█‗█ █ ‗ █ ─‗─ 
8224	█†█ █ † █ ─†─ 
