Unicode code point	name	character
U+254F	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL	╏
U+2550	BOX DRAWINGS DOUBLE HORIZONTAL	═
U+2551	BOX DRAWINGS DOUBLE VERTICAL	║
U+2552	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE	╒
U+2553	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE	╓
U+2554	BOX DRAWINGS DOUBLE DOWN AND RIGHT	╔
U+2555	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE	╕
U+2556	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE	╖
U+2557	BOX DRAWINGS DOUBLE DOWN AND LEFT	╗
U+2558	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE	╘
U+2559	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE	╙
U+255A	BOX DRAWINGS DOUBLE UP AND RIGHT	╚
U+255B	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE	╛
U+255C	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE	╜
U+255D	BOX DRAWINGS DOUBLE UP AND LEFT	╝
U+255E	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE	╞
U+255F	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE	╟
U+2560	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT	╠
U+2561	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE	╡
U+2562	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE	╢
U+2563	BOX DRAWINGS DOUBLE VERTICAL AND LEFT	╣
U+2564	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE	╤
U+2565	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE	╥
U+2566	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL	╦
U+2567	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE	╧
U+2568	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE	╨
U+2569	BOX DRAWINGS DOUBLE UP AND HORIZONTAL	╩
U+256A	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE	╪
U+256B	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE	╫
U+256C	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL	╬
U+256D	BOX DRAWINGS LIGHT ARC DOWN AND RIGHT	╭
U+256E	BOX DRAWINGS LIGHT ARC DOWN AND LEFT	╮
U+256F	BOX DRAWINGS LIGHT ARC UP AND LEFT	╯
U+2570	BOX DRAWINGS LIGHT ARC UP AND RIGHT	╰
U+2571	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT	╱
U+2572	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT	╲
U+2573	BOX DRAWINGS LIGHT DIAGONAL CROSS	╳
U+2574	BOX DRAWINGS LIGHT LEFT	╴
U+2575	BOX DRAWINGS LIGHT UP	╵
U+2576	BOX DRAWINGS LIGHT RIGHT	╶
U+2577	BOX DRAWINGS LIGHT DOWN	╷
U+2578	BOX DRAWINGS HEAVY LEFT	╸
U+2579	BOX DRAWINGS HEAVY UP	╹
U+257A	BOX DRAWINGS HEAVY RIGHT	╺
U+257B	BOX DRAWINGS HEAVY DOWN	╻
U+257C	BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT	╼
U+257D	BOX DRAWINGS LIGHT UP AND HEAVY DOWN	╽
U+257E	BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT	╾
U+257F	BOX DRAWINGS HEAVY UP AND LIGHT DOWN	╿
U+2580	UPPER HALF BLOCK	▀
U+2581	LOWER ONE EIGHTH BLOCK	▁
U+2582	LOWER ONE QUARTER BLOCK	▂
U+2583	LOWER THREE EIGHTHS BLOCK	▃
U+2584	LOWER HALF BLOCK	▄
U+2585	LOWER FIVE EIGHTHS BLOCK	▅
U+2586	LOWER THREE QUARTERS BLOCK	▆
U+2587	LOWER SEVEN EIGHTHS BLOCK	▇
U+2588	FULL BLOCK	█
U+2589	LEFT SEVEN EIGHTHS BLOCK	▉
U+258A	LEFT THREE QUARTERS BLOCK	▊
U+258B	LEFT FIVE EIGHTHS BLOCK	▋
U+258C	LEFT HALF BLOCK	▌
